Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-infty, -13.0]",4.464285714285714,0.0,95.53571428571429,112
"(-13.0, -12.8]",0.0,0.0,100.0,1
"(-12.8, -12.6]",0.0,0.0,0.0,0
"(-12.6, -12.4]",0.0,0.0,100.0,2
"(-12.4, -12.2]",0.0,0.0,100.0,2
"(-12.2, -12.0]",0.0,0.0,100.0,3
"(-12.0, -11.8]",0.0,0.0,100.0,2
"(-11.8, -11.6]",0.0,0.0,100.0,2
"(-11.6, -11.4]",0.0,0.0,100.0,1
"(-11.4, -11.2]",0.0,0.0,100.0,4
"(-11.2, -11.0]",0.0,0.0,100.0,2
"(-11.0, -10.8]",0.0,0.0,100.0,3
"(-10.8, -10.6]",0.0,0.0,100.0,6
"(-10.6, -10.4]",0.0,0.0,100.0,7
"(-10.4, -10.2]",0.0,0.0,100.0,7
"(-10.2, -10.0]",0.0,0.0,100.0,4
"(-10.0, -9.8]",0.0,0.0,100.0,7
"(-9.8, -9.6]",0.0,0.0,100.0,8
"(-9.6, -9.4]",5.88235294117647,5.88235294117647,88.23529411764706,17
"(-9.4, -9.2]",5.88235294117647,0.0,94.11764705882352,17
"(-9.2, -9.0]",12.5,8.333333333333332,79.16666666666666,24
"(-9.0, -8.8]",8.333333333333332,0.0,91.66666666666666,24
"(-8.8, -8.6]",0.0,6.25,93.75,32
"(-8.6, -8.4]",5.128205128205128,2.564102564102564,92.3076923076923,39
"(-8.4, -8.2]",10.256410256410255,0.0,89.74358974358975,39
"(-8.2, -8.0]",11.11111111111111,0.0,88.88888888888889,54
"(-8.0, -7.8]",11.267605633802818,1.4084507042253522,87.32394366197182,71
"(-7.8, -7.6]",5.797101449275362,0.0,94.20289855072464,69
"(-7.6, -7.4]",5.0,2.5,92.5,80
"(-7.4, -7.2]",3.225806451612903,2.1505376344086025,94.6236559139785,93
"(-7.2, -7.0]",9.174311926605505,0.9174311926605505,89.90825688073394,109
"(-7.0, -6.8]",7.82608695652174,2.608695652173913,89.56521739130436,115
"(-6.8, -6.6]",9.48905109489051,1.4598540145985401,89.05109489051095,137
"(-6.6, -6.4]",8.994708994708994,2.6455026455026456,88.35978835978835,189
"(-6.4, -6.2]",5.603448275862069,1.293103448275862,93.10344827586206,232
"(-6.2, -6.0]",8.080808080808081,2.356902356902357,89.56228956228956,297
"(-6.0, -5.8]",8.401084010840108,2.168021680216802,89.43089430894308,369
"(-5.8, -5.6]",9.18803418803419,2.3504273504273505,88.46153846153845,468
"(-5.6, -5.4]",10.546875,1.3671875,88.0859375,512
"(-5.4, -5.2]",8.524590163934425,2.622950819672131,88.85245901639345,610
"(-5.2, -5.0]",9.17941585535466,4.033379694019471,86.78720445062586,719
"(-5.0, -4.8]",11.357702349869452,4.177545691906006,84.46475195822454,766
"(-4.8, -4.6]",12.5,3.571428571428571,83.92857142857143,840
"(-4.6, -4.4]",13.380281690140844,3.0181086519114686,83.60160965794769,994
"(-4.4, -4.2]",14.545454545454545,2.77511961722488,82.67942583732058,1045
"(-4.2, -4.0]",16.75170068027211,3.231292517006803,80.01700680272108,1176
"(-4.0, -3.8]",16.246290801186944,3.4866468842729974,80.26706231454006,1348
"(-3.8, -3.6]",17.01553004726536,4.186360567184335,78.7981093855503,1481
"(-3.6, -3.4]",17.979555021046302,3.9085989176187614,78.11184606133493,1663
"(-3.4, -3.2]",19.63157894736842,4.315789473684211,76.05263157894737,1900
"(-3.2, -3.0]",20.156385751520418,4.561251086012163,75.28236316246742,2302
