Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-infty, -13.0]",3.4071136648727394,1.2220288916764455,95.37085744345082,24713
"(-13.0, -12.8]",3.1055900621118013,0.3105590062111801,96.58385093167702,322
"(-12.8, -12.6]",1.7994858611825193,1.5424164524421593,96.65809768637533,389
"(-12.6, -12.4]",2.588235294117647,1.1764705882352942,96.23529411764706,425
"(-12.4, -12.2]",2.839756592292089,0.8113590263691683,96.34888438133873,493
"(-12.2, -12.0]",2.8688524590163933,0.6147540983606558,96.51639344262296,488
"(-12.0, -11.8]",2.338129496402878,1.079136690647482,96.58273381294964,556
"(-11.8, -11.6]",1.9169329073482428,0.7987220447284344,97.28434504792332,626
"(-11.6, -11.4]",2.628120893561104,1.0512483574244416,96.32063074901446,761
"(-11.4, -11.2]",1.094890510948905,0.6082725060827251,98.29683698296837,822
"(-11.2, -11.0]",1.8640350877192982,0.6578947368421052,97.47807017543859,912
"(-11.0, -10.8]",1.9230769230769231,1.1904761904761905,96.88644688644689,1092
"(-10.8, -10.6]",3.122497998398719,1.2810248198558847,95.5964771817454,1249
"(-10.6, -10.4]",2.6535253980288096,1.3646702047005308,95.98180439727066,1319
"(-10.4, -10.2]",2.242744063324538,0.9894459102902375,96.76781002638522,1516
"(-10.2, -10.0]",1.8983807928531544,0.893355667225014,97.20826353992183,1791
"(-10.0, -9.8]",1.979218208807521,0.7422068283028204,97.27857496288966,2021
"(-9.8, -9.6]",2.2222222222222223,1.0699588477366255,96.70781893004116,2430
"(-9.6, -9.4]",1.955719557195572,1.0701107011070112,96.97416974169741,2710
"(-9.4, -9.2]",2.2869674185463658,0.7832080200501252,96.9298245614035,3192
"(-9.2, -9.0]",2.7777777777777777,0.7295173961840629,96.49270482603815,3564
"(-9.0, -8.8]",2.8064284000959465,0.9594627008875031,96.23410889901655,4169
"(-8.8, -8.6]",2.9749692244562986,1.0258514567090684,95.99917931883463,4874
"(-8.6, -8.4]",2.8442844284428443,1.044104410441044,96.1116111611161,5555
"(-8.4, -8.2]",2.937519428038545,1.1345974510413428,95.92788312092011,6434
"(-8.2, -8.0]",2.874828060522696,1.0729023383768914,96.05226960110042,7270
"(-8.0, -7.8]",2.8962865040259587,1.3459920682610265,95.75772142771302,8321
"(-7.8, -7.6]",3.294117647058824,1.1016042780748663,95.60427807486631,9350
"(-7.6, -7.4]",3.3015192832099727,1.061550447993767,95.63693026879626,10268
"(-7.4, -7.2]",3.0901287553648067,1.167381974248927,95.74248927038627,11650
"(-7.2, -7.0]",3.5093072932560267,1.1443393347574,95.34635337198657,13108
"(-7.0, -6.8]",3.7165375730398154,1.3113194727544504,94.97214295420574,14718
"(-6.8, -6.6]",3.837699756430821,1.4554743658290263,94.70682587774016,16833
"(-6.6, -6.4]",3.8705617034667226,1.6363350291078826,94.4931032674254,19067
"(-6.4, -6.2]",4.032592183400083,1.7078672374902177,94.2595405791097,21723
"(-6.2, -6.0]",4.259947788940748,1.7680563246578593,93.97199588640139,25282
"(-6.0, -5.8]",4.56727472226032,1.995611027293924,93.43711425044575,29164
"(-5.8, -5.6]",4.897286479486727,1.989522632291483,93.11319088822178,33978
"(-5.6, -5.4]",5.1535339612527755,2.256425964213697,92.59004007453353,39177
"(-5.4, -5.2]",5.51168595416383,2.450646698434309,92.03766734740186,44070
