Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-∞, -20.05]",1.6884143930407276,1.376037959667853,96.93554764729141,1241.0
"(-20.05, -19.95]",1.6884143930407276,1.376037959667853,96.93554764729141,25290.0
"(-19.95, -19.85]",1.678847184952288,1.3706357706910517,96.95051704435666,1.0
"(-19.85, -19.75]",1.6692799768638487,1.3652335817142507,96.9654864414219,0.0
"(-19.75, -19.65]",1.6597127687754092,1.3598313927374495,96.98045583848713,1.0
"(-19.65, -19.55]",1.6501455606869695,1.3544292037606482,96.99542523555237,0.0
"(-19.55, -19.45]",1.6405783525985302,1.3490270147838472,97.01039463261762,1.0
"(-19.45, -19.35]",1.6310111445100905,1.343624825807046,97.02536402968286,0.0
"(-19.35, -19.25]",1.6214439364216513,1.338222636830245,97.0403334267481,2.0
"(-19.25, -19.15]",1.6118767283332118,1.3328204478534438,97.05530282381334,0.0
"(-19.15, -19.05]",1.6023095202447721,1.3274182588766426,97.07027222087858,1.0
"(-19.05, -18.95]",1.5927423121563329,1.3220160698998416,97.08524161794382,0.0
"(-18.95, -18.85]",1.5831751040678932,1.3166138809230403,97.10021101500907,2.0
"(-18.85, -18.75]",1.573607895979454,1.311211691946239,97.11518041207431,1.0
"(-18.75, -18.65]",1.5640406878910142,1.3058095029694379,97.13014980913954,0.0
"(-18.65, -18.55]",1.5544734798025748,1.3004073139926366,97.14511920620478,2.0
"(-18.55, -18.45]",1.5449062717141355,1.2950051250158356,97.16008860327003,1.0
"(-18.45, -18.35]",1.5353390636256958,1.2896029360390344,97.17505800033527,0.0
"(-18.35, -18.25]",1.5257718555372566,1.2842007470622334,97.19002739740051,1.0
"(-18.25, -18.15]",1.516204647448817,1.2787985580854322,97.20499679446574,0.0
"(-18.15, -18.05]",1.5066374393603774,1.273396369108631,97.21996619153099,1.0
"(-18.05, -17.95]",1.4970702312719382,1.26799418013183,97.23493558859623,1.0
"(-17.95, -17.85]",1.4875030231834985,1.2625919911550287,97.24990498566147,2.0
"(-17.85, -17.75]",1.4779358150950592,1.2571898021782277,97.26487438272672,1.0
"(-17.75, -17.65]",1.4683686070066195,1.2517876132014265,97.27984377979195,1.0
"(-17.65, -17.55]",1.45880139891818,1.2463854242246253,97.29481317685719,4.0
"(-17.55, -17.45]",1.4492341908297406,1.2409832352478243,97.30978257392243,3.0
"(-17.45, -17.35]",1.4396669827413011,1.235581046271023,97.32475197098768,2.0
"(-17.35, -17.25]",1.4300997746528619,1.230178857294222,97.33972136805292,3.0
"(-17.25, -17.15]",1.4205325665644222,1.2247766683174208,97.35469076511815,4.0
"(-17.15, -17.05]",1.4109653584759827,1.2193744793406196,97.3696601621834,4.0
"(-17.05, -16.95]",1.4013981503875432,1.2139722903638186,97.38462955924864,5.0
"(-16.95, -16.85]",1.3918309422991038,1.2085701013870174,97.39959895631388,2.0
"(-16.85, -16.75]",1.3822637342106645,1.2031679124102164,97.41456835337912,4.0
"(-16.75, -16.65]",1.3726965261222248,1.197765723433415,97.42953775044435,1.0
"(-16.65, -16.55]",1.3631293180337853,1.192363534456614,97.4445071475096,7.0
"(-16.55, -16.45]",1.3535621099453459,1.1869613454798127,97.45947654457484,6.0
"(-16.45, -16.35]",1.3439949018569064,1.1815591565030115,97.47444594164008,6.0
"(-16.35, -16.25]",1.334427693768467,1.1761569675262105,97.48941533870533,4.0
"(-16.25, -16.15]",1.3248604856800275,1.1707547785494092,97.50438473577056,2.0
"(-16.15, -16.05]",1.3152932775915878,1.165352589572608,97.5193541328358,6.0
"(-16.05, -15.95]",1.3057260695031485,1.159950400595807,97.53432352990104,6.0
"(-15.95, -15.85]",1.296158861414709,1.1545482116190058,97.54929292696629,7.0
"(-15.85, -15.75]",1.2865916533262696,1.1491460226422048,97.56426232403153,11.0
"(-15.75, -15.65]",1.27702444523783,1.1437438336654036,97.57923172109676,10.0
"(-15.65, -15.55]",1.2674572371493906,1.1383416446886025,97.594201118162,5.0
"(-15.55, -15.45]",1.2578900290609512,1.1329394557118013,97.60917051522725,14.0
"(-15.45, -15.35]",1.2483228209725117,1.127537266735,97.62413991229249,12.0
"(-15.35, -15.25]",1.2387556128840722,1.1221350777581989,97.63910930935774,14.0
"(-15.25, -15.15]",1.2291884047956327,1.1167328887813979,97.65407870642296,13.0
"(-15.15, -15.05]",1.2196211967071933,1.1113306998045966,97.66904810348821,12.0
"(-15.05, -14.95]",1.2100539886187538,1.1059285108277956,97.68401750055345,23.0
"(-14.95, -14.85]",1.2004867805303143,1.1005263218509944,97.6989868976187,27.0
"(-14.85, -14.75]",1.1909195724418749,1.0951241328741932,97.71395629468394,18.0
"(-14.75, -14.65]",1.1813523643534354,1.0897219438973922,97.72892569174917,16.0
"(-14.65, -14.55]",1.171785156264996,1.084319754920591,97.74389508881441,23.0
"(-14.55, -14.45]",1.1622179481765564,1.0789175659437897,97.75886448587966,25.0
"(-14.45, -14.35]",1.152650740088117,1.0735153769669887,97.7738338829449,27.0
"(-14.35, -14.25]",1.1430835319996775,1.0681131879901875,97.78880328001014,37.0
"(-14.25, -14.15]",1.133516323911238,1.0627109990133863,97.80377267707537,32.0
"(-14.15, -14.05]",1.1239491158227986,1.0573088100365853,97.81874207414062,27.0
"(-14.05, -13.95]",1.114381907734359,1.051906621059784,97.83371147120586,37.0
"(-13.95, -13.85]",1.1048146996459194,1.0465044320829828,97.8486808682711,36.0
"(-13.85, -13.75]",1.0952474915574801,1.0411022431061818,97.86365026533635,31.0
"(-13.75, -13.65]",1.0856802834690407,1.0357000541293806,97.87861966240158,50.0
"(-13.65, -13.55]",1.0761130753806012,1.0302978651525794,97.89358905946682,48.0
"(-13.55, -13.45]",1.0665458672921617,1.0248956761757784,97.90855845653206,50.0
"(-13.45, -13.35]",1.056978659203722,1.0194934871989771,97.9235278535973,48.0
"(-13.35, -13.25]",1.0474114511152828,1.014091298222176,97.93849725066255,58.0
"(-13.25, -13.15]",1.0378442430268433,1.008689109245375,97.95346664772778,62.0
"(-13.15, -13.05]",1.0282770349384038,1.0032869202685737,97.96843604479302,61.0
"(-13.05, -12.95]",1.0187098268499644,0.9978847312917727,97.98340544185827,98.0
"(-12.95, -12.85]",1.0091426187615247,0.9924825423149715,97.99837483892351,88.0
"(-12.85, -12.75]",0.9995754106730852,0.9870803533381702,98.01334423598875,66.0
"(-12.75, -12.65]",0.9900082025846458,0.9816781643613691,98.02831363305398,89.0
"(-12.65, -12.55]",0.9804409944962064,0.976275975384568,98.04328303011923,91.0
"(-12.55, -12.45]",0.9708737864077669,0.9708737864077669,98.05825242718447,103.0
"(-12.45, -12.35]",2.380952380952381,1.5873015873015872,96.03174603174604,126.0
"(-12.35, -12.25]",5.660377358490567,0.9433962264150944,93.39622641509435,106.0
"(-12.25, -12.15]",1.694915254237288,3.389830508474576,94.91525423728814,118.0
"(-12.15, -12.05]",3.875968992248062,0.0,96.12403100775194,129.0
"(-12.05, -11.95]",1.6666666666666667,0.8333333333333334,97.5,120.0
"(-11.95, -11.85]",2.3529411764705883,0.0,97.6470588235294,170.0
"(-11.85, -11.75]",0.8064516129032258,0.0,99.19354838709677,124.0
"(-11.75, -11.65]",0.6756756756756757,0.6756756756756757,98.64864864864865,148.0
"(-11.65, -11.55]",2.941176470588235,2.2058823529411766,94.85294117647058,136.0
"(-11.55, -11.45]",3.5294117647058822,1.1764705882352942,95.29411764705881,170.0
"(-11.45, -11.35]",2.2346368715083798,1.675977653631285,96.08938547486034,179.0
"(-11.35, -11.25]",1.0752688172043012,2.1505376344086025,96.7741935483871,186.0
"(-11.25, -11.15]",2.030456852791878,2.5380710659898478,95.43147208121827,197.0
"(-11.15, -11.05]",0.49261083743842365,2.955665024630542,96.55172413793103,203.0
"(-11.05, -10.95]",1.7937219730941705,1.345291479820628,96.8609865470852,223.0
"(-10.95, -10.85]",1.2552301255230125,3.765690376569038,94.97907949790795,239.0
"(-10.85, -10.75]",2.2058823529411766,2.2058823529411766,95.58823529411765,272.0
"(-10.75, -10.65]",0.33333333333333337,2.0,97.66666666666667,300.0
"(-10.65, -10.55]",1.2461059190031152,1.2461059190031152,97.50778816199377,321.0
"(-10.55, -10.45]",0.964630225080386,0.964630225080386,98.07073954983923,311.0
"(-10.45, -10.35]",1.9283746556473829,1.9283746556473829,96.14325068870524,363.0
"(-10.35, -10.25]",1.550387596899225,1.03359173126615,97.41602067183463,387.0
"(-10.25, -10.15]",1.0554089709762533,1.8469656992084433,97.0976253298153,379.0
"(-10.15, -10.05]",2.2900763358778624,2.2900763358778624,95.41984732824427,393.0
"(-10.05, -9.95]",2.9166666666666665,1.875,95.20833333333333,480.0
"(-9.95, -9.85]",1.5418502202643172,1.3215859030837005,97.13656387665198,454.0
"(-9.85, -9.75]",2.4242424242424243,0.40404040404040403,97.17171717171718,495.0
"(-9.75, -9.65]",1.0204081632653061,1.4285714285714286,97.55102040816327,490.0
"(-9.65, -9.55]",1.0309278350515463,1.202749140893471,97.76632302405498,582.0
"(-9.55, -9.45]",2.9259896729776247,2.5817555938037864,94.49225473321859,581.0
"(-9.45, -9.35]",1.1477761836441895,1.8651362984218076,96.987087517934,697.0
"(-9.35, -9.25]",2.4566473988439306,1.8786127167630058,95.66473988439307,692.0
"(-9.25, -9.15]",1.2738853503184715,2.1656050955414012,96.56050955414013,785.0
"(-9.15, -9.05]",1.5950920245398774,1.2269938650306749,97.17791411042946,815.0
"(-9.05, -8.95]",1.7391304347826086,1.7391304347826086,96.52173913043478,920.0
"(-8.95, -8.85]",1.7804154302670623,1.6815034619188922,96.53808110781405,1011.0
"(-8.85, -8.75]",2.838827838827839,2.0146520146520146,95.14652014652015,1092.0
"(-8.75, -8.65]",2.559576345984113,0.9708737864077669,96.46954986760812,1133.0
"(-8.65, -8.55]",1.9851116625310175,1.9851116625310175,96.02977667493796,1209.0
"(-8.55, -8.45]",2.156549520766773,1.4376996805111821,96.40575079872204,1252.0
"(-8.45, -8.35]",1.5492957746478873,2.112676056338028,96.3380281690141,1420.0
"(-8.35, -8.25]",1.929260450160772,2.3794212218649515,95.69131832797427,1555.0
"(-8.25, -8.15]",1.6870273414776031,1.6870273414776031,96.6259453170448,1719.0
"(-8.15, -8.05]",2.1393307734503564,1.7004936917169502,96.16017553483269,1823.0
"(-8.05, -7.95]",1.962809917355372,2.169421487603306,95.86776859504133,1936.0
"(-7.95, -7.85]",1.8018018018018018,1.9019019019019021,96.29629629629629,1998.0
"(-7.85, -7.75]",1.5916325602546613,2.046384720327422,96.36198271941791,2199.0
"(-7.75, -7.65]",1.6459074733096084,2.224199288256228,96.12989323843416,2248.0
"(-7.65, -7.55]",1.8898931799506986,1.8898931799506986,96.2202136400986,2434.0
"(-7.55, -7.45]",1.7647058823529411,2.156862745098039,96.07843137254902,2550.0
"(-7.45, -7.35]",1.9338043882484195,1.5247303830420231,96.54146522870955,2689.0
"(-7.35, -7.25]",1.6359918200409,1.738241308793456,96.62576687116564,2934.0
"(-7.25, -7.15]",1.2524084778420037,1.9267822736030826,96.82080924855492,3114.0
"(-7.15, -7.05]",1.8374338212394894,1.5882902522578637,96.57427592650265,3211.0
"(-7.05, -6.95]",1.9591141396933562,1.6751845542305508,96.36570130607609,3522.0
"(-6.95, -6.85]",2.0164725930133485,1.7040613462084635,96.27946606077819,3521.0
"(-6.85, -6.75]",1.5799708313077296,1.7744287797763734,96.6456003889159,4114.0
"(-6.75, -6.65]",2.1714797403178867,2.3057980747705398,95.52272218491157,4467.0
"(-6.65, -6.55]",1.8964415086298745,2.301299808225016,95.80225868314511,4693.0
"(-6.55, -6.45]",1.7572537801389458,2.1454842664487126,96.09726195341234,4894.0
"(-6.45, -6.35]",2.004199274670739,2.0614621110899027,95.93433861423935,5239.0
"(-6.35, -6.25]",2.2057494124028203,2.350388718134153,95.44386186946303,5531.0
"(-6.25, -6.15]",2.3752151462994835,2.2547332185886404,95.37005163511188,5810.0
"(-6.15, -6.05]",2.4035317200784827,2.027468933943754,95.56899934597777,6116.0
"(-6.05, -5.95]",2.2001527883880825,2.3834988540870894,95.41634835752483,6545.0
"(-5.95, -5.85]",2.1013080990815474,2.2126356804898415,95.68605622042861,7186.0
"(-5.85, -5.75]",2.442261746748075,2.4820812317494028,95.07565702150252,7534.0
"(-5.75, -5.65]",2.6556218784261176,2.5703496162748203,94.77402850529906,8209.0
"(-5.65, -5.55]",2.7777777777777777,2.92022792022792,94.30199430199431,8424.0
"(-5.55, -5.45]",2.788311398616998,3.3236671871514614,93.88802141423153,8966.0
"(-5.45, -5.35]",3.0866807610993656,3.0232558139534884,93.89006342494714,9460.0
"(-5.35, -5.25]",3.1791318524556758,3.0670470756062764,93.75382107193805,9814.0
