Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-infty, -13.0]",3.2813297172471203,1.9279825998227762,94.79068768293011,37241
"(-13.0, -12.8]",1.5235457063711912,1.2465373961218837,97.22991689750693,722
"(-12.8, -12.6]",1.5706806282722512,1.7015706806282722,96.72774869109948,764
"(-12.6, -12.4]",1.7521902377972465,1.376720901126408,96.87108886107634,799
"(-12.4, -12.2]",3.1088082901554404,1.9689119170984457,94.92227979274611,965
"(-12.2, -12.0]",2.2222222222222223,1.7391304347826086,96.03864734299516,1035
"(-12.0, -11.8]",2.47787610619469,1.592920353982301,95.929203539823,1130
"(-11.8, -11.6]",2.5336500395882817,1.979414093428345,95.48693586698337,1263
"(-11.6, -11.4]",2.298050139275766,2.2284122562674096,95.47353760445682,1436
"(-11.4, -11.2]",2.2498519834221433,1.5985790408525755,96.15156897572528,1689
"(-11.2, -11.0]",1.8528321863419799,2.2233986236103758,95.92376919004765,1889
"(-11.0, -10.8]",2.3400191021967527,1.5759312320916905,96.08404966571156,2094
"(-10.8, -10.6]",2.157102157102157,1.2617012617012617,96.58119658119658,2457
"(-10.6, -10.4]",1.875901875901876,1.6233766233766231,96.5007215007215,2772
"(-10.4, -10.2]",2.3832843617368593,1.5997388181521384,96.016976820111,3063
"(-10.2, -10.0]",2.066957787481805,1.572052401746725,96.36098981077147,3435
"(-10.0, -9.8]",2.13697219361483,1.4675592173017509,96.39546858908342,3884
"(-9.8, -9.6]",2.3149209259683707,1.4898005959202383,96.19527847811139,4363
"(-9.6, -9.4]",1.9817997977755308,1.4155712841253791,96.60262891809909,4945
"(-9.4, -9.2]",2.158395649218219,1.7675050985723997,96.07409925220938,5884
"(-9.2, -9.0]",2.208533653846154,1.397235576923077,96.39423076923077,6656
"(-9.0, -8.8]",2.3574344791255104,1.6330831028578956,96.00948241801659,7593
"(-8.8, -8.6]",2.723553477498539,1.5078901227352426,95.76855639976621,8555
"(-8.6, -8.4]",2.376075378943056,1.6181892666939777,96.00573535436297,9764
"(-8.4, -8.2]",2.5887038377986964,1.6926140477914555,95.71868211440984,11048
"(-8.2, -8.0]",2.56328099967959,1.7862864466517143,95.6504325536687,12484
