Interval,WinningChance,DrawingChance,LosingChance,TotalGames
"(-infty, -13.0]",3.8091536293848995,2.521620833738218,95.31051964512041,20582
"(-13.0, -12.8]",3.8091536293848995,3.4408602150537635,95.31051964512041,465
"(-12.8, -12.6]",3.8091536293848995,3.171247357293869,95.31051964512041,473
"(-12.6, -12.4]",3.8091536293848995,2.1868787276341948,95.31051964512041,503
"(-12.4, -12.2]",4.262877442273535,3.374777975133215,95.31051964512041,563
"(-12.2, -12.0]",4.262877442273535,3.6544850498338874,95.31051964512041,602
"(-12.0, -11.8]",4.262877442273535,2.1341463414634148,95.31051964512041,656
"(-11.8, -11.6]",4.262877442273535,3.012912482065997,95.31051964512041,697
"(-11.6, -11.4]",4.262877442273535,3.1055900621118013,95.31051964512041,805
"(-11.4, -11.2]",4.262877442273535,2.4261603375527425,95.31051964512041,948
"(-11.2, -11.0]",4.262877442273535,3.1777557100297913,95.31051964512041,1007
"(-11.0, -10.8]",4.262877442273535,2.060085836909871,95.31051964512041,1165
"(-10.8, -10.6]",4.262877442273535,2.3238925199709515,95.31051964512041,1377
"(-10.6, -10.4]",4.262877442273535,2.2179974651457544,95.31051964512041,1578
"(-10.4, -10.2]",4.262877442273535,2.794292508917955,95.16567083107007,1682
"(-10.2, -10.0]",4.262877442273535,2.2813688212927756,95.16567083107007,1841
"(-10.0, -9.8]",4.262877442273535,2.227488151658768,94.78510028653295,2110
"(-9.8, -9.6]",4.262877442273535,2.407566638005159,94.78510028653295,2326
"(-9.6, -9.4]",4.262877442273535,2.581888246628131,94.78510028653295,2595
"(-9.4, -9.2]",4.262877442273535,2.3733162283515075,94.78510028653295,3118
"(-9.2, -9.0]",4.262877442273535,2.1203438395415475,94.78510028653295,3490
"(-9.0, -8.8]",4.262877442273535,2.4160732451678535,94.65753424657535,3932
"(-8.8, -8.6]",4.262877442273535,2.207505518763797,94.65753424657535,4530
"(-8.6, -8.4]",4.262877442273535,2.3640661938534278,94.65753424657535,5076
"(-8.4, -8.2]",4.262877442273535,2.208904109589041,94.65753424657535,5840
"(-8.2, -8.0]",4.262877442273535,2.3755484944772283,94.47722802239372,6609
"(-8.0, -7.8]",4.262877442273535,2.7691054703407088,94.28823464549565,7367
"(-7.8, -7.6]",4.262877442273535,2.598994728454089,94.28823464549565,8157
"(-7.6, -7.4]",4.262877442273535,2.436872863601279,94.28823464549565,9069
"(-7.4, -7.2]",4.262877442273535,2.8477218225419665,93.86490807354116,10008
"(-7.2, -7.0]",4.262877442273535,2.715012949897294,93.65008484415468,11197
"(-7.0, -6.8]",4.262877442273535,2.8000323703164196,93.59876992797605,12357
"(-6.8, -6.6]",4.262877442273535,2.972458970204973,93.44346596387479,14197
"(-6.6, -6.4]",4.262877442273535,3.156135501703413,93.44346596387479,15557
"(-6.4, -6.2]",4.262877442273535,3.2788832788832787,92.94921294921295,16835
"(-6.2, -6.0]",4.262877442273535,3.4087839662903137,92.69623467127653,18511
"(-6.0, -5.8]",4.262877442273535,3.715395823215153,92.11753278290432,20590
"(-5.8, -5.6]",4.262877442273535,3.998773651016118,91.7790819901892,22832
"(-5.6, -5.4]",4.486948153494526,4.406752476041541,91.10629937046393,24939
"(-5.4, -5.2]",4.66738797895758,4.663657053314927,90.66895496772749,26803
"(-5.2, -5.0]",4.9615480029769286,5.216713328844314,89.82173866817875,28217
"(-5.0, -4.8]",5.166805094130676,5.685908084163898,89.14728682170544,28896
"(-4.8, -4.6]",5.608052588331964,6.4537113119693235,87.93823609969871,29208
"(-4.6, -4.4]",6.1126932465419035,7.041632763764579,86.84567398969352,29496
"(-4.4, -4.2]",6.542602593650029,7.791269650166834,85.66612775618314,29071
"(-4.2, -4.0]",7.104552942413515,8.681784725386422,84.21366233220007,28531
"(-4.0, -3.8]",7.5289575289575295,9.598884598884599,82.87215787215787,27972
"(-3.8, -3.6]",8.278488501072246,10.548694816239,81.17281668268875,27046
"(-3.6, -3.4]",8.48786895379385,11.725390202441663,79.78674084376449,25884
"(-3.4, -3.2]",9.050439206645732,12.814499781390357,78.13506101196391,25159
"(-3.2, -3.0]",9.74496092143151,13.693953105717812,76.56108597285068,24310
"(-3.0, -2.8]",9.74496092143151,15.23741128759716,75.10561000337952,23672
"(-2.8, -2.6]",10.586261698746249,16.263464594737773,73.15027370651597,22652
"(-2.6, -2.4]",11.064766008158776,17.75679515973782,71.17843883210341,21817
"(-2.4, -2.2]",12.089418214471383,18.668179025473794,69.24240276005482,21159
"(-2.2, -2.0]",12.43324594620837,20.36605495679192,67.2006990969997,20598
"(-2.0, -1.8]",12.690202380354542,21.131923868829407,66.17787375081605,19913
"(-1.8, -1.6]",13.427652076204097,22.963379130701263,63.60896879309465,19579
"(-1.6, -1.4]",14.56095041322314,24.59710743801653,60.84194214876033,19360
"(-1.4, -1.2]",15.01695960530373,26.050981601397883,58.93205879329838,19458
"(-1.2, -1.0]",15.547082727135905,27.898459840465563,56.55445743239853,19933
"(-1.0, -0.8]",16.177233089794957,29.71482441668631,54.107942493518735,21215
"(-0.8, -0.6]",16.80607386436752,32.11512889803972,51.07879723759275,23313
"(-0.6, -0.4]",17.11910592942637,35.53171673967783,47.3491773308958,28991
"(-0.4, -0.2]",17.11910592942637,41.70483793569777,41.25768878419055,45846
"(-0.2, -0.0]",22.79016036966567,50.91600978526773,26.293829845066597,147160
"(-0.0, 0.2]",27.45551819431776,51.08294648569912,21.46153531998312,146914
"(0.2, 0.4]",41.36147009574514,42.15147481859946,16.487055085655403,46582
"(0.4, 0.6]",46.737918824995084,37.03035866500557,16.231722509999344,30502
"(0.6, 0.8]",50.98672407606746,33.33732009727704,15.675955826655505,25083
"(0.8, 1.0]",53.953610964681076,30.675628184853277,15.370760850465647,22764
"(1.0, 1.2]",56.42769691198476,29.016460345531218,14.555842742484016,22053
"(1.2, 1.4]",58.21689645600075,27.62561302859258,14.157490515406682,21614
"(1.4, 1.6]",61.11934766493698,25.500370644922164,13.380281690140844,21584
"(1.6, 1.8]",63.653837352981554,23.495492197153446,12.850670449864996,21851
"(1.8, 2.0]",65.47586950660556,22.1533207513256,12.370809742068841,22254
"(2.0, 2.2]",67.72397721387881,20.438460210599,11.837562575522181,23172
"(2.2, 2.4]",69.31604266889771,19.347416858397825,11.336540472704455,23905
"(2.4, 2.6]",71.20631977751803,18.193543186489862,10.6001370359921,24811
"(2.6, 2.8]",73.40850364106178,16.615770104142197,9.975726254796022,25542
"(2.8, 3.0]",74.95684803001876,15.380863039399625,9.662288930581614,26650
"(3.0, 3.2]",76.7475035663338,14.071472987307509,9.181023446358681,27339
"(3.2, 3.4]",78.6292441921581,12.97522688251165,8.395528925330249,28539
"(3.4, 3.6]",80.72001364954787,11.42467155775465,7.8553147926974916,29305
"(3.6, 3.8]",82.1915090596482,10.382224573469118,7.426266366882688,30244
"(3.8, 4.0]",83.43828916664002,9.462008119425887,7.099702713934086,31283
"(4.0, 4.2]",84.54918161049041,8.719056113666948,6.731762275842644,31953
"(4.2, 4.4]",86.14428166933399,7.694201649636834,6.161516681029176,32492
"(4.4, 4.6]",87.3887240356083,6.88851208139042,5.722763883001272,33026
"(4.6, 4.8]",88.12520852922442,6.290757984773575,5.584033486002002,32969
"(4.8, 5.0]",89.53725441739775,5.4645990362041275,4.998146546398122,32372
"(5.0, 5.2]",90.08676042221317,5.221286058821687,4.691953518965139,31927
"(5.2, 5.4]",90.69574178107237,4.7900807765183,4.514177442409334,30083
"(5.4, 5.6]",91.37784993294275,4.341074327662878,4.2810757393943675,28334
"(5.6, 5.8]",92.01570680628272,4.049892208192177,3.9344009855251003,25976
"(5.8, 6.0]",92.57056668821375,3.624218918336566,3.8052143934496874,23205
"(6.0, 6.2]",92.99985762422287,3.3932893550377297,3.686934023285899,21071
"(6.2, 6.4]",93.40285055543912,3.1439949696080487,3.686934023285899,19084
"(6.4, 6.6]",93.47328680928956,3.306257865232811,3.686934023285899,17482
"(6.6, 6.8]",93.93589743589743,2.967948717948718,3.686934023285899,15600
"(6.8, 7.0]",94.25378514780101,2.6964671953857247,3.686934023285899,13870
"(7.0, 7.2]",94.25378514780101,2.7418065547561947,3.686934023285899,12510
"(7.2, 7.4]",94.40883190883191,2.626424501424501,3.686934023285899,11232
"(7.4, 7.6]",94.40883190883191,2.685765443151298,3.686934023285899,10053
