,Interval,WinningChance,DrawingChance,LosingChance,TotalGames
34,"(-6.4, -6.2]",4.091482611198902,3.0833118959244423,92.82520549287665,81633
35,"(-6.2, -6.0]",4.30486709471373,3.1770850660367946,92.51804783924948,90177
36,"(-6.0, -5.8]",4.517978688212356,3.4784526399149933,92.00356867187264,99757
37,"(-5.8, -5.6]",4.772550457402953,3.698570112763465,91.52887942983358,111827
38,"(-5.6, -5.4]",5.070725185598074,3.9777363093651292,90.9515385050368,123789
39,"(-5.4, -5.2]",5.4433588314491805,4.254951072199533,90.30169009635128,132951
40,"(-5.2, -5.0]",5.804143072589136,4.552115641806334,89.64374128560453,140572
41,"(-5.0, -4.8]",6.30087304149523,4.874195476120152,88.82493148238461,145583
42,"(-4.8, -4.6]",6.738160137416021,5.271814461842515,87.99002540074147,150783
43,"(-4.6, -4.4]",7.243138521149499,5.644817565385858,87.11204391346465,154850
44,"(-4.4, -4.2]",7.949060220536601,6.203619938128286,85.8473198413351,158069
45,"(-4.2, -4.0]",8.570682646045974,6.577197061053992,84.85212029290004,160874
46,"(-4.0, -3.8]",9.190659575768692,7.146524848707133,83.66281557552418,163590
47,"(-3.8, -3.6]",9.99514187523616,7.690231570613743,82.3146265541501,166731
48,"(-3.6, -3.4]",10.765779063588592,8.250575662750192,80.98364527366122,169370
49,"(-3.4, -3.2]",11.590020694412509,8.836514141181881,79.5734651644056,173960
50,"(-3.2, -3.0]",12.452149032362621,9.502573473938337,78.04527749369903,178941
51,"(-3.0, -2.8]",13.453259199965384,10.101031953789239,76.44570884624538,184892
52,"(-2.8, -2.6]",14.4206512789045,10.805523650686261,74.77382507040925,190671
53,"(-2.6, -2.4]",15.415239423242092,11.57355482130407,73.01120575545383,197934
54,"(-2.4, -2.2]",16.628476955651593,12.36524832980441,71.00627471454399,206862
55,"(-2.2, -2.0]",17.864413024455395,13.131303827200295,69.00428314834431,217130
56,"(-2.0, -1.8]",18.950394017228426,14.018626268980098,67.03097971379147,228924
57,"(-1.8, -1.6]",20.27151555043607,14.767566233338819,64.96091821622511,243080
58,"(-1.6, -1.4]",21.666673051800032,15.640001072702406,62.693325875497564,261023
59,"(-1.4, -1.2]",23.187915680306617,16.6560985232781,60.15598579641529,283872
60,"(-1.2, -1.0]",24.62199978853135,17.623028295146153,57.754971916322496,312103
61,"(-1.0, -0.8]",26.28307390779188,18.65613391371727,55.06079217849085,351032
62,"(-0.8, -0.6]",28.334271521543762,19.6984959361637,51.96723254229254,405036
63,"(-0.6, -0.4]",30.771293050113425,20.907816044545267,48.32089090534131,484900
64,"(-0.4, -0.2]",33.8922408323294,22.133758749066793,43.97400041860381,606779
65,"(-0.2, -0.0]",38.144126182293995,23.159852101623766,38.69602171608224,789461
66,"(-0.0, 0.2]",41.73162743160146,21.62510414523327,36.64326842316527,889383
67,"(0.2, 0.4]",43.19176003685499,20.65221066512259,36.156029298022425,946412
68,"(0.4, 0.6]",44.90034639802282,20.785225892091027,34.31442770988616,818134
69,"(0.6, 0.8]",48.61625117535019,19.835692070304024,31.548056754345783,663632
70,"(0.8, 1.0]",52.33427579464417,18.834964889826697,28.830759315529132,549271
71,"(1.0, 1.2]",55.75211810231671,17.909897546922146,26.33798435076115,469288
72,"(1.2, 1.4]",58.81682625840985,16.959649732366955,24.223524009223198,411571
73,"(1.4, 1.6]",61.78986768283936,15.932458436064747,22.277673881095886,369491
74,"(1.6, 1.8]",64.26086207255149,15.039769907981022,20.699368019467496,336561
75,"(1.8, 2.0]",66.72511295869903,14.161022745883873,19.113864295417105,311397
76,"(2.0, 2.2]",68.88745705947413,13.288219221505926,17.824323719019937,290227
77,"(2.2, 2.4]",71.02677605448365,12.443658795095885,16.52956515042047,272669
78,"(2.4, 2.6]",73.02903759130037,11.64918926051555,15.321773148184084,257666
79,"(2.6, 2.8]",74.84634766877254,10.872663565714193,14.28098876551327,244871
80,"(2.8, 3.0]",76.72234843802615,10.126722561560397,13.15092900041346,234607
81,"(3.0, 3.2]",78.41753128843072,9.426264079238866,12.156204632330416,225243
82,"(3.2, 3.4]",79.95998344142404,8.792143875626696,11.247872682949268,217410
83,"(3.4, 3.6]",81.40191768163436,8.11799505575376,10.480087262611876,209941
84,"(3.6, 3.8]",82.76863740662989,7.610701557389055,9.620661035981056,204830
85,"(3.8, 4.0]",84.03836153446139,7.038281531261251,8.923356934277372,199992
86,"(4.0, 4.2]",85.23733458537257,6.53288899549368,8.229776419133746,195947
87,"(4.2, 4.4]",86.47634100563074,5.989487202150393,7.534171792218866,192337
88,"(4.4, 4.6]",87.4287290297601,5.53672675969683,7.034544210543064,188541
89,"(4.6, 4.8]",88.42478396523842,5.152163614682196,6.423052420079389,183651
90,"(4.8, 5.0]",89.4122383252818,4.743031457667097,5.844730217051099,176364
91,"(5.0, 5.2]",90.08364821768579,4.435300844734996,5.481050937579212,169639
92,"(5.2, 5.4]",90.75732366192443,4.182011927240096,5.060664410835468,160473
93,"(5.4, 5.6]",91.25755020592999,3.9452555480156146,4.797194246054408,148837
94,"(5.6, 5.8]",91.84893165248637,3.6074361144520175,4.543632233061606,134694
95,"(5.8, 6.0]",92.41060327249217,3.3562109381475773,4.233185789360256,120642
96,"(6.0, 6.2]",92.81934508444576,3.1777785972416845,4.00287631831256,108472
97,"(6.2, 6.4]",93.04780836088517,3.0699174458935925,3.882274193221233,98602
98,"(6.4, 6.6]",93.21400950171251,3.015136449011159,3.7708540492763234,90510
99,"(6.6, 6.8]",93.49214717457671,2.840748868972451,3.6671039564508416,81563
100,"(6.8, 7.0]",93.70189911965008,2.7407120314489783,3.557388848900947,72244
101,"(7.0, 7.2]",93.91205271909836,2.542033626901521,3.5459136540001235,64948
102,"(7.2, 7.4]",94.06554472984942,2.6129317980513727,3.3215234720992024,58708
103,"(7.4, 7.6]",94.14619350925084,2.4454049135577796,3.4084015771913863,52752
104,"(7.6, 7.8]",94.2376200495823,2.502031207683173,3.2603487427345264,48001
105,"(7.8, 8.0]",94.28861647851883,2.4886303298935752,3.222753191587598,43317
106,"(8.0, 8.2]",94.54795357361027,2.412950519242517,3.0390959071472206,39288
