Name,Federation,FideID,B_Year,Gender,Title
"Maes, Valeer ",Belgium,201634,1946,Male,None
"Bauduin, Etienne ",Belgium,201707,1970,Male,FIDE Master
"Michiels, Luc ",Belgium,201715,1960,Male,None
"Gooris, Jan ",Belgium,201723,1954,Male,None
"Grobelny, Fabrice ",Belgium,201804,1965,Male,None
"Beeckmans, Felix ",Belgium,201812,1979,Male,FIDE Master
"Gulbas, Cemil ",Turkiye,201820,1980,Male,International Master
"De Wachter, Matthias ",Belgium,201839,1979,Male,FIDE Master
"Cekro, Ekrem ",Belgium,201855,1950,Male,International Master
"Van Mechelen, Jan ",Belgium,201863,1966,Male,FIDE Master
"Pauwels, Rudi ",Belgium,201880,1948,Male,None
"Dumont, Andre ",Belgium,201910,1964,Male,None
"Romanelli, Robert ",Belgium,201936,1953,Male,None
"Piceu, Tom ",Belgium,201952,1978,Male,International Master
"Beukenhorst, Edo ",Belgium,201979,1976,Male,None
"Mauquoy, Alain ",Belgium,201987,1960,Male,None
"Verspecht, Thierry ",Belgium,202010,1961,Male,None
"Meessen, Rudolf ",Belgium,202029,1968,Male,FIDE Master
"Thirion, Marcel ",Belgium,202053,1966,Male,None
"Talon, Alain ",Belgium,202088,1968,Male,None
"Barbier, Wim ",Belgium,202100,1960,Male,None
"Versporten, Wim ",Belgium,202126,1961,Male,None
"Faybish, Nimrod ",Belgium,202142,1971,Male,None
"Lafosse, Jimmy ",Belgium,202150,1993,Male,None
"Laurent, Bruno ",Belgium,202169,1975,Male,International Master
"Wantiez, Fabrice ",Belgium,202274,1971,Male,FIDE Master
"Hautot, Stephane ",Belgium,202282,1980,Male,International Master
"Vingerhoets, Luc ",Belgium,202304,1960,Male,None
"Marechal, Georges ",Belgium,202339,1946,Male,None
"Krygelmans, Johan ",Belgium,202347,1958,Male,None
"Marechal, Andy ",Belgium,202355,1978,Male,FIDE Master
"Haberkorn, Danny ",Belgium,202428,1961,Male,None
"Denys, Frank ",Belgium,202436,1955,Male,None
"Ackaert, Thierry ",Belgium,202533,1969,Male,None
"Schouten, Freek ",Netherlands,202550,1963,Male,None
"Abolianin, Arthur ",Belgium,202606,1966,Male,International Master
"Kocur, Johan ",Belgium,202614,1972,Male,None
"Woyave, Pascal ",Belgium,202622,1971,Male,None
"Da Ces, Philippe ",Belgium,202665,1964,Male,None
"Beuselinck, Steven ",Belgium,202690,1971,Male,None
"Mollekens, Roeland ",Belgium,202746,1949,Male,None
"Lombart, Philippe ",Belgium,202789,1954,Male,None
"Donovan, Linton ",Belgium,202819,1981,Male,None
"Dejasse, Daniel ",Belgium,202843,1959,Male,None
"Philippe, Denis-Emmanuel ",Belgium,202851,1979,Male,None
"Fontaine, Pierre ",Belgium,202894,1961,Male,None
"Timmermans, Daniel ",Belgium,202924,1951,Male,None
"Michiels, Bart ",Belgium,202967,1986,Male,Grandmaster
"Vanparys, Philip ",Belgium,202975,1981,Male,None
"Demoulin, Paul ",Belgium,202983,1919,Male,None
"Peleman, Tony ",Belgium,202991,1956,Male,None
"Plumanns, Dieter ",Belgium,203017,1952,Male,Candidate Master
"Demarcke, Dirk ",Belgium,203025,1958,Male,FIDE Master
"De Weerd, Jan ",Belgium,203033,1958,Male,None
"Bauwe, Pascal ",Belgium,203130,1962,Male,None
"Saligo, Luc ",Belgium,203157,1954,Male,None
"Bergmans, Norbert ",Belgium,203165,1959,Male,None
"Knors, Rudi ",Belgium,203173,1963,Male,None
"Verbruggen, Samuel ",Belgium,203181,1974,Male,None
"Maas, Thomas ",Belgium,203211,1975,Male,None
"Renette, Hans ",Belgium,203246,1977,Male,FIDE Master
"Zouaghi, Nouri ",Belgium,203262,1980,Male,None
"Callier, Christophe ",Belgium,203270,1968,Male,None
"Van Vlaenderen, Koen ",Belgium,203297,1960,Male,None
"Gorshkova, Irina ",Belgium,203319,1977,Female,Woman FIDE Master
"Vanlerberghe, Filip ",Belgium,203360,1986,Male,None
"Russo, Italo ",Belgium,203378,1957,Male,None
"De Villers, Mourad ",Belgium,203475,1969,Male,None
"Berghs, Hilde ",Belgium,203483,1961,Female,None
"Vanhove, Koen ",Belgium,203513,1963,Male,None
"Keustermans, Helmut ",Belgium,203599,1972,Male,None
"Froeyman, Helmut ",Belgium,203602,1976,Male,FIDE Master
"Bosschaerts, Patrick ",Belgium,203637,1966,Male,None
"Degembe, Pierre ",Belgium,203661,1957,Male,None
"Verduyn, Frederic ",Belgium,203670,1976,Male,FIDE Master
"Stuer, Marc ",Belgium,203700,1955,Male,None
"De Cock, Constant ",Belgium,203815,1949,Male,None
"Van de Wynkele, Rudy ",Belgium,203823,1949,Male,None
"Geirnaert, Steven ",Belgium,203866,1984,Male,International Master
"Dgebuadze, Alexandre ",Belgium,203882,1971,Male,Grandmaster
"Stange, Sven ",Netherlands,203890,1982,Male,None
"De Smet, Tristan ",Belgium,203912,1988,Male,None
"Mangelschots, Peter ",Belgium,203920,1972,Male,None
"Dhuyvetter, Koen ",Belgium,204021,1985,Male,None
"Verlinden, Dirk ",Belgium,204080,1953,Male,None
"Porteman, Eric ",Belgium,204099,1954,Male,None
"Remy, Joel ",Belgium,204137,1967,Male,None
"Saiboulatov, Daniyal ",Belgium,204145,1970,Male,International Master
"Manne, Jean-Luc ",Belgium,204188,1961,Male,None
"Verduyn, Philippe ",Belgium,204200,1982,Male,None
"Minyeyevtsev, Semen ",Belgium,204218,1985,Male,None
"Noiroux, Kevin ",Belgium,204234,1986,Male,None
"Peeren, Yen ",Belgium,204250,1976,Male,None
"Decoster, Frederic ",Belgium,204269,1980,Male,FIDE Master
"Bikady, Claude ",Belgium,204293,1968,Male,None
"Achtergaele, Koen ",Belgium,204323,1974,Male,None
"Debusschere, Helmuth ",Belgium,204331,1943,Male,None
"Sclacmender, Julien ",Belgium,204340,1981,Male,None
"Driessens, Patrick ",Netherlands,204382,1974,Male,FIDE Master
"Memeti, Kastriot ",Belgium,204390,1982,Male,None
"Steen, Pieter ",Belgium,204404,1980,Male,None
"Vandenbussche, Thibaut ",Belgium,204412,1987,Male,International Master
"Werner, Ivan ",Belgium,204420,1971,Male,None
"Akhayan, Ruben ",Belgium,204439,1985,Male,FIDE Master
"Barzeele, Raf ",Belgium,204455,1954,Male,None
"Burnay, Gerard ",Belgium,204463,1943,Male,None
"Pattyn, Luc ",Belgium,204498,1953,Male,None
"De Coninck, Rafael ",Belgium,204501,1973,Male,None
"De Kaey, Pascal ",Belgium,204510,1976,Male,None
"DeBuck, Valere ",Belgium,204528,1956,Male,None
"Draftian, Ashote ",Belgium,204552,1955,Male,FIDE Master
"Ghysels, Marc ",Belgium,204595,1961,Male,None
"Gregoir, Christophe ",Belgium,204625,1984,Male,FIDE Master
"Hawia, Thierry ",Belgium,204668,1959,Male,None
"Iolis, Oleg ",Belgium,204684,1959,Male,None
"Remijsen, Dave ",Belgium,204714,1973,Male,None
"Munster, Pierre ",Belgium,204757,1966,Male,None
"Remont, Leopold ",Belgium,204773,1949,Male,None
"Robert, Pierre ",Belgium,204781,1976,Male,None
"Van Espen, Eddy ",Belgium,204846,1957,Male,None
"Vandendriessche, Jan ",Belgium,204862,1969,Male,None
"Vercammen, Robert ",Belgium,204870,1972,Male,None
"Verhaegen, Albert ",Belgium,204889,1950,Male,None
"Van Der Straeten, Lieven ",Belgium,204994,1978,Male,None
"Kocur, Marc ",Belgium,205036,1965,Male,None
"Maenhout, Thibaut ",Belgium,205044,1989,Male,International Master
"Dinev, Dimiter ",Belgium,205079,1950,Male,None
"Rogiers, Jan ",Belgium,205109,1969,Male,None
"Vinsot, Robin-Gael ",France,205117,1980,Male,None
"Vande Velde, Erik ",Belgium,205206,1963,Male,None
"Boons, Patrick ",Belgium,205249,1977,Male,None
"Cluyts, Marc ",Belgium,205257,1964,Male,None
"Verhulst, Tobias ",Belgium,205273,1985,Male,None
"Verlinden, Willem ",Belgium,205281,1954,Male,None
"Dambiermont, Marc ",Belgium,205311,1967,Male,None
"Helsen, Steff ",Belgium,205338,1979,Male,None
"Wolf, Pierre ",Belgium,205354,1969,Male,None
"Honhon, Roland ",Belgium,205362,1975,Male,None
"Dorr, Yannick ",Belgium,205389,1995,Male,None
"Maes, Patrick ",Belgium,205397,1959,Male,None
"Maes, Thomas ",Belgium,205400,1978,Male,None
"Mattheys, Eddy ",Belgium,205419,1956,Male,None
"Peters, Mathias ",Belgium,205435,1931,Male,None
"Audenaert, Bart ",Belgium,205508,1981,Male,None
"Vidaich, Stephane ",Belgium,205540,1958,Male,None
"Real, Thibault ",Belgium,205559,1995,Male,FIDE Master
"Verheyden, Jonas ",Belgium,205621,1986,Male,None
"De Gueldre, Philippe ",Belgium,205630,1984,Male,None
"Didderen, Gaetan ",Belgium,205648,1983,Male,None
"Larsen, Harald ",Belgium,205680,1956,Male,None
"Van Lishout, Francois ",Belgium,205699,1980,Male,None
"Van de Wynkele, Eric ",Belgium,205702,1955,Male,None
"Vanstreels, Luk ",Belgium,205737,1986,Male,None
"Dierckens, Sarah ",Belgium,205745,1987,Female,None
"Van Coppenolle, Kurt ",Belgium,205800,1978,Male,None
"Artels, Lieven ",Belgium,205834,1985,Male,None
"Tonoli, Benjamin ",Belgium,205869,1986,Male,None
"Scoriels, Michael ",Belgium,205974,1976,Male,None
"Zilles, Paul ",Belgium,205990,1962,Male,None
"Ponnet, Hendrik ",Belgium,206016,1989,Male,FIDE Master
"Bomans, Arno ",Belgium,206024,1990,Male,FIDE Master
"Viaene, Arvid ",Belgium,206040,1989,Male,None
"Van Der Fraenen, Joep ",Belgium,206083,1975,Male,None
"Hias, Ludovic ",Belgium,206148,1980,Male,None
"Biemans, Erik ",Netherlands,206210,1984,Male,None
"Boutens, Lukas ",Netherlands,206288,1973,Male,None
"Gheury, Jean-Marie ",Belgium,206385,1968,Male,None
"Caufriez, Olivier ",Belgium,206474,1983,Male,None
"Courteyn, Patrick ",Belgium,206504,1950,Male,None
"Di Cosmo, Jonathan ",Belgium,206512,1984,Male,None
"Dechamps, Mark ",Belgium,206547,1980,Male,None
"Du Pont, David ",Belgium,206555,1975,Male,None
"Dugailliez, Guy ",Belgium,206571,1966,Male,None
"Guisset, Philippe ",Belgium,206628,1960,Male,None
"Van De Putte, Ben ",Belgium,206679,1974,Male,None
"Van Houtte, Filip ",Belgium,206695,1957,Male,None
"Bosschem, Eddy ",Belgium,206768,1953,Male,None
"Chauvon, Guillaume ",Belgium,206784,1987,Male,None
"Maddens, Martijn ",Belgium,206962,1992,Male,Candidate Master
"Marchand, Werner ",Belgium,206970,1959,Male,None
"Paulus, Werner ",Belgium,207012,1947,Male,None
"Pincket, Michael ",Belgium,207020,1985,Male,None
"Van Eetvelde, Ward ",Belgium,207080,1990,Male,None
"Van Hoecke, Luc ",Belgium,207098,1957,Male,None
"Verbeeren, Peter ",Belgium,207128,1978,Male,None
"Van de Wynkele, Herman ",Belgium,207144,1951,Male,None
"Baete, Guy ",Belgium,207187,1961,Male,None
"Van Poucke, Simon ",Belgium,207250,1987,Male,None
"Russo, Bruno ",Belgium,207306,1982,Male,None
"Visser, Gerrit ",Netherlands,207330,1945,Male,None
"Fogel, Pierre ",Belgium,207357,1968,Male,None
"Todts, Benny ",Belgium,207373,1978,Male,None
"Peeters, Simonne ",Belgium,207420,1959,Female,None
"De Vogelaere, Robin ",Belgium,207489,1992,Male,None
"Barbe, Tom ",Belgium,207497,1987,Male,None
"De Cat, Ben ",Belgium,207500,1962,Male,None
"Gijsen, Stief ",Belgium,207535,1991,Male,None
"Massoels, Thomas ",Belgium,207586,1973,Male,None
"Sarrau, Jelle ",Belgium,207608,1988,Male,FIDE Master
"Vanhee, Freddy ",Belgium,207667,1947,Male,None
"Van Puyvelde, Stijn ",Belgium,207764,1987,Male,None
"Carlier, Sven ",Belgium,207799,1990,Male,None
"De Weird, Evy ",Belgium,207810,1990,Female,None
"Vandenbroucke, Tim ",Belgium,207934,1989,Male,None
"Watelet, Sylvain ",Belgium,207950,1990,Male,None
"Barbier, Wiebke ",Belgium,207977,1992,Female,None
"De Reymaeker, Walter ",Belgium,208000,1945,Male,None
"Ringoir, Tanguy ",Belgium,208027,1994,Male,Grandmaster
"Gregorio, Santiago ",Belgium,208051,1960,Male,None
"Barreau, Renaud ",Belgium,208060,1982,Male,None
"Godart, Francois ",Belgium,208078,1994,Male,International Master
"Godart, Michel ",Belgium,208086,1955,Male,None
"Willockx, Ritsaart ",Belgium,208108,1978,Male,None
"Hulpia, Fabian ",Belgium,208116,1990,Male,None
"Baeten, Olivier ",Belgium,208132,1971,Male,None
"Bruno, Ricardo ",Belgium,208140,1983,Male,None
"Hanset, Marc ",Belgium,208175,1968,Male,None
"Truwant, Pieter ",Belgium,208213,1979,Male,None
"Mastalerz, Xavier ",Belgium,208310,1991,Male,None
"Wlogalski, Olivier ",Belgium,208353,1965,Male,None
"Cocquyt, Tijs ",Belgium,208493,1978,Male,None
"De Vroe, Philip ",Belgium,208574,1965,Male,None
"Draidi, Ahmed ",Belgium,208612,1971,Male,None
"Goossens, Roel ",Belgium,208671,1986,Male,FIDE Master
"Goossens, Xavier ",Belgium,208680,1966,Male,None
"De Schampheleire, Glen ",Belgium,208701,1992,Male,International Master
"Herpigny, Yves ",Belgium,208736,1955,Male,None
"Lanoye, Regis ",Belgium,208795,1979,Male,None
"Marte, Sebastien ",Belgium,208817,1986,Male,None
"Moens, Bernard ",Belgium,208868,1968,Male,None
"Ooghe, Jean-Marie ",Belgium,208914,1945,Male,None
"Schrickx, Frank ",Belgium,208957,1950,Male,None
"Secelle, Hans ",Belgium,208965,1959,Male,None
"Thiry, Jean-Christophe ",Belgium,209015,1967,Male,None
"Van De Perre, Tom ",Belgium,209040,1985,Male,None
"Van Der Stricht, Jan ",Belgium,209066,1969,Male,None
"Van Goethem, Jozef ",Belgium,209074,1954,Male,None
"Verkimpe, Mike ",Belgium,209180,1976,Male,None
"Verlinden, Robijn ",Belgium,209198,1969,Male,None
"Viaene, Jan ",Belgium,209228,1952,Male,None
"Gryson, Wouter ",Belgium,209309,1989,Male,None
"Hamblok, Roel ",Belgium,209317,1988,Male,FIDE Master
"Verlinde, Tieme ",Belgium,209325,1989,Male,None
"Hugaert, Arthur ",Belgium,209350,1989,Male,None
"Majewski, Philippe ",Belgium,209368,1956,Male,None
"Wijgers, Toon ",Belgium,209376,1982,Male,None
"Allaert, Dimitri ",Belgium,209384,1988,Male,None
"Baguet, Frederic ",Belgium,209392,1976,Male,None
"De Herdt, Yasseen ",Belgium,209406,1992,Male,None
"Decoster, Sam ",Belgium,209449,1993,Male,None
"Ponnet, Guy ",Belgium,209490,1959,Male,None
"Roels, Frederik ",Belgium,209503,1968,Male,None
"Soors, Stef ",Belgium,209511,1992,Male,International Master
"Van Steenkiste, Luc ",Belgium,209546,1962,Male,None
"Geuquet, Michael ",Belgium,209589,1986,Male,None
"Nijs, Nils ",Belgium,209651,1993,Male,FIDE Master
"De Vos, Nils ",Belgium,209694,1987,Male,None
"Engelaer, Maurice ",Belgium,209708,1953,Male,None
"Van Vliet, Dennis ",Belgium,209740,1976,Male,None
"Rogmans, Jelle ",Belgium,209821,1985,Male,None
"Vandenbruaene, Andre ",Belgium,209830,1960,Male,None
"Wattin, Joffrey ",Belgium,209848,1983,Male,None
"Cankja, Rediart ",Belgium,209872,1977,Male,None
"Poelman, Geoffrey ",Belgium,209961,1992,Male,None
"Larmuseau, Maarten ",Belgium,209988,1992,Male,None
"Vander Zwalmen, Miranda ",Belgium,209996,1964,Female,None
"Vandervorst, Pascal ",Belgium,210005,1972,Male,None
"Baekelant, Eva ",Belgium,210030,1995,Female,Woman FIDE Master
"Roos, David ",Belgium,210064,1992,Male,None
"Van Melkebeke, Willem ",Belgium,210129,1992,Male,None
"Ghyselen, Wouter ",Belgium,210250,1993,Male,None
"Herremerre, Pierre ",Belgium,210269,1946,Male,None
"Labieze, Steven ",Belgium,210285,1978,Male,None
"Ninclaus, Wouter ",Belgium,210366,1976,Male,None
"Peeters, Tim ",Belgium,210382,1983,Male,None
"Ramacker, Nico ",Belgium,210390,1973,Male,None
"Ramacker, Quinten ",Belgium,210404,1998,Male,None
"Roos, Frank ",Belgium,210412,1966,Male,None
"Smekens, Ruben ",Belgium,210447,1994,Male,None
"Temmerman, Hans ",Belgium,210471,1961,Male,None
"Thienpondt, Mardoek ",Belgium,210480,1997,Male,None
"Tutenel, Erik ",Belgium,210498,1973,Male,None
"Van Houtte, Randy ",Belgium,210536,1991,Male,None
"Vandewiele, Emiel ",Belgium,210552,1994,Male,None
"Vanhauwaert, Kurt ",Belgium,210560,1970,Male,None
"Verhelst, Joris ",Belgium,210579,1995,Male,None
"Hauglustaine, Sander ",Belgium,211206,1995,Male,None
"Lenaerts, Lennert ",Belgium,211435,1998,Male,FIDE Master
"Picard, Herve ",Belgium,211591,1966,Male,None
"Swijsen, Lars ",Belgium,211800,1995,Male,None
"Ancion, Merowig ",Belgium,212180,1989,Male,None
"Baudoin, Olivier ",Belgium,212512,1986,Male,None
"Bauwens, Steven ",Belgium,212555,1986,Male,None
"Boons, Bert ",Belgium,212865,1982,Male,None
"Chung Choong Lon, Marc ",Belgium,213500,1974,Male,None
"Corbeel, Louis ",Belgium,213756,1957,Male,None
"Cornille, Yves ",Belgium,213810,1966,Male,None
"Cuvelier, Annelies ",Belgium,213950,1994,Female,None
"Dalschaert, Didier ",Belgium,214019,1962,Male,None
"Danneel, Geert ",Belgium,214051,1970,Male,None
"Dayer, Glenn ",Belgium,214094,1963,Male,None
"De Bisscop, Maxim ",Belgium,214159,1989,Male,None
"De Block, Yordi ",Belgium,214175,1998,Male,None
"De Geest, Jan ",Belgium,214345,1951,Male,None
"De Graef, Marc ",Belgium,214370,1968,Male,None
"De Groof, Maurice ",Belgium,214418,1936,Male,None
"De Meyere, Dirk ",Belgium,214523,1964,Male,None
"De Saegher, Johan ",Belgium,214701,1965,Male,None
"De Spiegelaere, Chris ",Belgium,214744,1951,Male,None
"De Vleeschauwer, Maarten ",Belgium,214809,1997,Male,FIDE Master
"De Weird, Matthias ",Belgium,214973,1994,Male,None
"Deblauwe, Pauwel ",Belgium,215040,1958,Male,None
"Debouver, Gilles ",Belgium,215058,1995,Male,None
"Deceuninck, Andre ",Belgium,215082,1955,Male,None
"Decleir, Walter ",Belgium,215112,1937,Male,None
"Decrop, Benjamin ",Belgium,215147,1994,Male,None
"Decrop, Hendrik ",Belgium,215155,1999,Male,None
"Delanoeije, Patrick ",Belgium,215287,1961,Male,None
"Descamps, Stijn ",Belgium,215597,1982,Male,None
"Deschuyteneer, Willy ",Belgium,215619,1953,Male,None
"Gorts, Sven ",Belgium,216739,1977,Male,None
"Grillmaier, Philippe ",Belgium,216810,1953,Male,None
"Hans, Lysander ",Belgium,216984,1995,Male,None
"Jacobs, Paul ",Belgium,217468,1949,Male,None
"Jamar, Vadim ",Belgium,217484,1999,Male,None
"Lamproye, Jean-Paul ",Belgium,218057,1967,Male,None
"Legein, Youri ",Belgium,218286,1978,Male,None
"Liekens, Ronny ",Belgium,218553,1961,Male,None
"Lootens, Matthias ",Belgium,218634,1995,Male,None
"Mabille, Natacha ",Belgium,218677,1995,Female,None
"Matthijs, Luc ",Belgium,218880,1957,Male,None
"Morote, Patrick ",Belgium,219150,1965,Male,None
"Ongena, Niels ",Belgium,219436,1990,Male,None
"Passchyn, Maarten ",Belgium,219576,1982,Male,None
"Persoons, Bart ",Belgium,219738,1975,Male,None
"Philipsen, Mathias ",Belgium,219835,1992,Male,None
"Piceu, Kurt ",Belgium,219843,1973,Male,None
"Pirard, Gregory ",Belgium,219908,1986,Male,None
"Plompen, Wim ",Belgium,219924,1949,Male,None
"Regniers, Yves ",Belgium,220167,1986,Male,None
"Rosskamp, Bob ",Belgium,220450,1993,Male,None
"Scheffler, Juergen ",Belgium,220604,1944,Male,None
"Sferruggia, Serge ",Belgium,220914,1976,Male,None
"Sneppe, Herman ",Belgium,221031,1957,Male,None
"Van De Casteele, Frederik ",Belgium,221694,1966,Male,None
"Van Den Heede, Dorian ",Belgium,221848,1994,Male,None
"Van Duuren, Louis ",Netherlands,222011,1944,Male,None
"Van Hille, Reinout ",Belgium,222186,1996,Male,None
"Van Hoorebeke, Jimmy ",Belgium,222224,1973,Male,None
"Van Rillaer, Dirk ",Belgium,222496,1946,Male,None
"Vanbellingen, Patrick ",Belgium,222682,1958,Male,None
"Vandelacluze, Ian ",Belgium,222755,1995,Male,None
"Vandevelde, Luc ",Belgium,222992,1973,Male,None
"Vandevenne, Sander ",Belgium,223000,1993,Male,None
"Vanlooy, Noel ",Belgium,223077,1969,Male,None
"Verhulst, Nikolaas ",Belgium,223450,1989,Male,None
"Verschraegen, Thomas ",Belgium,223603,1986,Male,None
"Verstraeten, Rein ",Belgium,223654,1995,Male,International Master
"Vincent, Ayla ",Belgium,223743,1997,Female,None
"Vincent, Gwijde ",Belgium,223751,1994,Male,None
"Visse, Bernard ",Belgium,223794,1963,Male,None
"Wagner, Hans ",Belgium,223921,1969,Male,None
"Capone, Nicola ",Belgium,224715,1999,Male,International Master
"Theys, Bart ",Belgium,224740,1980,Male,None
"Vandecasteele, Louis ",Belgium,225002,1944,Male,None
"Demarre, Jan ",Belgium,225053,1960,Male,None
"Kuijpers, Domien ",Belgium,225070,1953,Male,None
"Timmermans, Georges ",Belgium,225169,1948,Male,None
"Nottet, Tristan ",Belgium,225312,1992,Male,None
"Gillot, Florent ",Belgium,225479,1998,Male,None
"Bellens, Steven ",Belgium,225665,1986,Male,None
"Bosschem, Tim ",Belgium,225797,1986,Male,None
"De Block, Fabio ",Belgium,226181,2000,Male,None
"De Strycker, Nathan ",Belgium,226343,1996,Male,FIDE Master
"Delaere, Koen ",Belgium,226408,1973,Male,None
"Descamps, Bert ",Belgium,226483,1985,Male,None
"Garcia-Hernando, Francois ",Belgium,226785,1980,Male,None
"Lagaert, Lisa ",Belgium,227285,1996,Female,None
"Larsen, Sander ",Belgium,227315,1996,Male,None
"Lebon, Olivier ",Belgium,227358,1977,Male,None
"Leunis, Geert ",Belgium,227455,1980,Male,None
"Marchal, Patrice ",Belgium,227501,1971,Male,None
"Mollica, Antonio ",Belgium,227633,1960,Male,None
"Sohet, Cedric ",Belgium,228206,1974,Male,None
"Sterck, Arno ",Belgium,228249,1999,Male,FIDE Master
"Tomme, Lowie ",Belgium,228338,1999,Male,None
"Van Laeken, Jonathan ",Belgium,228567,1995,Male,None
"Vandamme, Florian ",Belgium,228672,1995,Male,None
"Vanden Bussche, Steven ",Belgium,228699,1997,Male,None
"Vanhuyse, Nele ",Belgium,228818,1991,Female,Woman FIDE Master
"Verhasselt, Karsten ",Belgium,228893,1996,Male,None
"Vermeiren, Bart ",Belgium,228923,1972,Male,None
"Verstraete, Michael ",Belgium,229180,1992,Male,None
"Carmans, Wesley ",Belgium,229237,1977,Male,None
"Tuerlinckx, Ben ",Belgium,229334,1998,Male,None
"Rousseau, Jean-Francois ",Belgium,229539,1969,Male,None
"Callebaut, Giovanni ",Belgium,229776,1999,Male,None
"Chaerle, Josse ",Belgium,229920,1997,Male,None
"Gilles, Jean-Claude ",Belgium,230057,1953,Male,None
"Braekmans, Geert ",Belgium,230227,1986,Male,None
"De Ruyck, Nick ",Belgium,230502,1985,Male,None
"Delescaille, Laurent ",Belgium,230596,1989,Male,None
"Fontaine, Quentin ",Belgium,230804,1996,Male,FIDE Master
"Goffart, Nicolas ",Belgium,230901,1996,Male,None
"Henry, Michael ",Belgium,231029,1974,Male,None
"Lot, Diederik ",Belgium,231223,1978,Male,None
"Maes, Tibo ",Belgium,231274,1998,Male,None
"Messaoudi, Mohammed ",Belgium,231355,1970,Male,None
"Michiels, Dirk ",Belgium,231363,1962,Male,None
"Van den Bosch, Arno ",Belgium,231835,1998,Male,None
"Van Simaeys, Axel ",Belgium,231916,1995,Male,None
"Verhalle, Elias ",Belgium,232084,1991,Male,None
"Bex, Lennert ",Belgium,232254,1996,Male,None
"Lion, Maurice ",Belgium,232688,1982,Male,None
"Godart, Clara ",Belgium,232726,2002,Female,None
"Boucquet, Emile ",Belgium,233161,1997,Male,Candidate Master
"Terryn, Ezra ",Belgium,233196,1997,Male,None
"De Coninck, Erik ",Belgium,233234,2000,Male,None
"Rosseel, Kimball ",Belgium,233331,1978,Male,None
"Swennen, Fleur ",Belgium,233366,2001,Female,None
"Van Kessel, Wessel ",Belgium,233404,1994,Male,None
"Bratuszewski, Jorden ",Belgium,233463,1999,Male,None
"Kolp, Theo ",Belgium,233749,2001,Male,None
"Lachaert, Tibo ",Belgium,233757,1998,Male,None
"Podevijn, Guido ",Belgium,233960,1952,Male,None
"San Lorenzo, Nordine ",Belgium,234010,1978,Male,None
"Smet, Louis ",Belgium,234036,1999,Male,None
"Vandenbuerie, Joachim ",Belgium,234117,1985,Male,None
"Verbist, Julien ",Belgium,234150,1989,Male,None
"Valembois, Pierre ",Belgium,234559,1959,Male,None
"Roessler, Nicolas ",Belgium,234729,1999,Male,None
"Mahieu, Jacques ",Belgium,234842,1948,Male,None
"Boudry, William ",Belgium,234990,2001,Male,None
"Carpentier, Jannes ",Belgium,235059,1998,Male,None
"Coucke, Yari ",Belgium,235180,2003,Male,None
"Devos, Johan ",Belgium,235350,1961,Male,None
"Ismaili, Afrim ",Belgium,235555,1985,Male,FIDE Master
"Moerman, Thomas ",Belgium,235644,2000,Male,None
"Paul, Bernard ",Belgium,235687,1965,Male,None
"Pauwels, Xander ",Belgium,235709,2000,Male,None
"Pirard, Natan ",Belgium,235725,2002,Male,FIDE Master
"Verboven, Arnout ",Belgium,236012,1999,Male,None
"Verhaeghe, Koen ",Belgium,236020,1982,Male,None
"Verheyen, Olivier ",Belgium,236055,2001,Male,None
"Vanlommel, Maxim ",Belgium,236292,1997,Male,None
"Dallemagne, Maximilien ",Belgium,236543,2001,Male,None
"Demat, Olivier ",Belgium,236616,1979,Male,None
"Huettl, Sofie ",Belgium,236730,2000,Female,None
"Godry, Adelin ",Belgium,236780,1995,Male,None
"Lenaerts, Robbe ",Belgium,236853,2001,Male,None
"Discart, Eddy ",Belgium,236870,1966,Male,None
"Carpentier, Julian ",Belgium,236950,1993,Male,None
"Vervaet, Bart ",Belgium,236993,1973,Male,None
"Condes, Alexie Sheen ",Belgium,237183,2000,Female,None
"Bernard, Romain ",Belgium,237272,1990,Male,None
"Biot, Thomas ",Belgium,237280,1988,Male,None
"Jognery, Lionel ",Belgium,237310,1997,Male,None
"Boudry, Rik ",Belgium,237540,1962,Male,None
"Callebaut, Katia ",Belgium,237639,1971,Female,None
"De Bock, Thijs ",Belgium,237809,2001,Male,None
"De Corte, Ronny ",Belgium,237825,1958,Male,None
"De Schouwer, Jonas ",Belgium,237906,2003,Male,None
"De Witte, Stein ",Belgium,238090,1991,Male,None
"Faybish, Benjamin ",Belgium,238228,2004,Male,None
"Huygebaert, Batist ",Belgium,238422,2000,Male,None
"Kumpen, Jona ",Belgium,238520,2000,Male,None
"Raats, Joppe ",Belgium,238902,2005,Male,None
"Roelandt, Andreas ",Belgium,238961,1998,Male,None
"Steegmans, Pieter ",Belgium,239194,1999,Male,None
"Van Dijck, Bjarne ",Belgium,239348,2001,Male,None
"Mitran, Anthony Cristian ",Belgium,240052,2004,Male,None
"Beukema, Constantijn ",Belgium,240192,2005,Male,None
"Sterckx, Pieter ",Belgium,240370,1983,Male,None
"Vande Ginste, Michiel ",Belgium,240389,2002,Male,None
"Deketelaere, Francky ",Belgium,240621,1959,Male,None
"Bleys, Michiel ",Belgium,240702,1996,Male,None
"Cornelissens, Francis ",Belgium,240923,1946,Male,None
"Daels, Ilse ",Belgium,240982,2001,Female,None
"Dardha, Daniel ",Belgium,240990,2005,Male,Grandmaster
"De Waele, Warre ",Belgium,241156,2002,Male,FIDE Master
