Name,Federation,FideID,B_Year,Gender,Title
"Pierrot, Facundo ",Argentina,103250,1975,Male,International Master
"Uelf, Maximiliano ",Argentina,103268,1992,Male,None
"Moccero, Eduardo ",Uruguay,103373,1951,Male,None
"Saldano Dayer, Horacio ",Spain,103411,1973,Male,International Master
"Virgillito, Cristian ",Argentina,103420,1984,Male,None
"Quiroga, Facundo ",Argentina,103519,1957,Male,International Master
"Dolezal, Cristian ",Argentina,103560,1973,Male,International Master
"Sevillano, Daniel ",Argentina,103608,1973,Male,None
"Blanco, Marcos ",Argentina,103675,1993,Male,None
"Dos Santos, Ramiro ",Argentina,103802,1975,Male,International Master
"Campos, Jose Felix ",Argentina,103837,1966,Male,FIDE Master
"Olivieri, Martin ",Argentina,103861,1970,Male,None
"Gimenez, Ismael ",Argentina,103900,1958,Male,Candidate Master
"Pinus, Ruben ",Argentina,103918,1968,Male,None
"Gil, Ramon ",Argentina,103934,1978,Male,None
"Villabrille, Roberto ",Argentina,103942,1967,Male,Candidate Master
"Diaz Hollemaert, Nahuel ",Uruguay,104019,1976,Male,International Master
"Bonaveri, Agustin ",Argentina,104027,1976,Male,FIDE Master
"Oro, Luis ",Argentina,104094,1950,Male,None
"Hobaica, Juan Pablo ",Argentina,104159,1974,Male,International Master
"Panelo, Marcelo ",Argentina,104213,1973,Male,International Master
"Cordero, Alfredo ",Argentina,104280,1946,Male,FIDE Master
"Salvati, Diego ",Argentina,104302,1969,Male,None
"Labollita, Martin ",Argentina,104329,1980,Male,International Master
"Converset, Juan Jose ",Argentina,104388,1977,Male,FIDE Master
"Arenas, Sergio ",Argentina,104485,1974,Male,None
"Bernal, Gustavo ",Argentina,104523,1968,Male,None
"Arambel, Sergio ",Argentina,104540,1960,Male,FIDE Master
"Bazzano, Sebastian ",Argentina,104566,1974,Male,Candidate Master
"Bianchi, Albino ",Argentina,104604,1963,Male,None
"Penafiel, Horacio ",Argentina,104620,1973,Male,None
"Modotti, Pedro Luis Antonio ",Argentina,104639, ,Male,None
"Mussanti, Diego ",Argentina,104680,1966,Male,FIDE Master
"Torella, Rodolfo ",Argentina,104710,1961,Male,None
"Cabral, Matias Andres ",Argentina,104779,1990,Male,None
"Capuano, Gabriel ",Argentina,104787,1958,Male,None
"Herman, Diego ",Austria,104833,1972,Male,None
"Hoeschele, Hermann ",Argentina,104884,1957,Male,None
"Demaria, Juan Pablo ",Argentina,104922,1973,Male,FIDE Master
"Hutt, Alejandro Gabriel ",Argentina,104973,1967,Male,None
"Daneri, Martin ",Argentina,104981,1962,Male,Candidate Master
"Rago, Sergio ",Argentina,104990,1974,Male,Candidate Master
"Moravich, Juan ",Argentina,105023,1975,Male,None
"Moreda, Lucas ",Argentina,105082,1979,Male,FIDE Master
"German, Sergio ",Argentina,105104,1979,Male,None
"Gamboa, Juan Pablo ",Argentina,105180,1973,Male,Candidate Master
"Alonso, Salvador ",Argentina,105198,1974,Male,Grandmaster
"Ripari, Marcelo ",Argentina,105228,1976,Male,FIDE Master
"Peralta, Fernando ",Argentina,105309,1979,Male,Grandmaster
"Arias, Juan Carlos ",Argentina,105333,1966,Male,Candidate Master
"Rocabado, Fernando ",Argentina,105341,1973,Male,None
"Besso, Javier Alejandro ",Argentina,105430,1988,Male,None
"Andretta, Gaston Carlos ",Argentina,105457,1974,Male,None
"Restuccia, Francisco ",Argentina,105511,1970,Male,Candidate Master
"Montes De Oca, Juan ",Argentina,105538,1973,Male,None
"Lorenzini, Martin ",Argentina,105570,1975,Male,Grandmaster
"Jorge, Cristian ",Argentina,105686,1976,Male,None
"Ubeira Montenegro, Enrique ",Argentina,105708,1945,Male,None
"Torres, Sergio ",Argentina,105740,1941,Male,None
"Alvarez, Agustin ",Argentina,105767,1996,Male,None
"Bertorello, Juan ",Argentina,105805,1974,Male,FIDE Master
"Belmonte, Diego Mariano ",Argentina,105856,1978,Male,FIDE Master
"Churba, Daniel Alberto ",Argentina,105880,1975,Male,None
"Nieva, Jose Luis ",Argentina,105899,1966,Male,None
"Sobrero, Sebastian ",Argentina,106178,1978,Male,None
"Tobares, Leandro ",Argentina,106402,1969,Male,FIDE Master
"Bustos, Cristian ",Argentina,106410,1972,Male,None
"Grego, Maximiliano ",Argentina,106429,1993,Male,None
"Iglesias, Jorge ",Spain,106461,1973,Male,None
"Juarez, Leticia ",Argentina,106496,1994,Female,None
"Varela, Gaston ",Argentina,106569,1981,Male,FIDE Master
"Marson, Juan Miguel ",Argentina,106585,1995,Male,Candidate Master
"Martinez De Negri, Gonzalo ",Argentina,106593,1994,Male,None
"Pesuto, Nicolas Francesco ",Argentina,106631,1995,Male,None
"Romanelli, Gabriel ",Argentina,106712, ,Male,None
"Mosconi, Ariel ",Argentina,106747,1965,Male,None
"Torrallardona, Eduardo ",Argentina,106801,1961,Male,None
"Leskovar, Matias ",Argentina,106844,1979,Male,FIDE Master
"Moro, Lorente Ricardo ",Argentina,106941, ,Male,None
"Felgaer, Ruben ",Argentina,107069,1981,Male,Grandmaster
"Wainer, Daniel ",Argentina,107085,1971,Male,None
"Montoro, Gustavo E. ",Argentina,107115,1963,Male,None
"Aberbach, Angel ",Argentina,107166,1967,Male,None
